,geohash,latitude,longitude,time,cloudCover,dewPoint,humidity,ozone,precipAccumulation,precipIntensity,precipProbability,pressure,uvIndex,visibility,windBearing,windGust,windSpeed,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,moonPhase,precipIntensityMax,precipIntensityMaxTime,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,windGustTime
5,9zxumj9x1fbt,42.966,-90.1297,2020-01-25 00:00:00-06:00,0.97,29.31,0.98,394.7,0.36,0.0018,0.35,1020.5,1,5.121,2,16.64,7.85,26.76,2020-01-25 19:00:00-06:00,20.49,2020-01-26 06:05:00-06:00,29.85,2020-01-25 22:56:00-06:00,11.23,2020-01-25 07:55:00-06:00,0.04,0.0108,2020-01-25 00:01:00-06:00,2020-01-25 07:24:00-06:00,2020-01-25 17:04:00-06:00,33.74,2020-01-25 15:00:00-06:00,25.41,2020-01-26 06:03:00-06:00,33.74,2020-01-25 15:00:00-06:00,21.32,2020-01-25 07:58:00-06:00,2020-01-25 08:49:00-06:00
6,9zxumj9x1fbt,42.966,-90.1297,2020-01-26 00:00:00-06:00,0.97,28.11,0.97,363.1,0.05,0.0002,0.15,1020.3,1,8.063,249,17.98,5.72,28.91,2020-01-26 15:00:00-06:00,19.71,2020-01-26 23:52:00-06:00,28.91,2020-01-26 15:00:00-06:00,19.71,2020-01-26 23:52:00-06:00,0.07,0.0007,2020-01-26 23:01:00-06:00,2020-01-26 07:23:00-06:00,2020-01-26 17:06:00-06:00,34.75,2020-01-26 15:00:00-06:00,25.62,2020-01-26 23:58:00-06:00,34.75,2020-01-26 15:00:00-06:00,25.41,2020-01-26 06:03:00-06:00,2020-01-26 21:25:00-06:00
7,9zxumj9x1fbt,42.966,-90.1297,2020-01-27 00:00:00-06:00,1.0,30.52,0.99,345.2,0.03,0.0002,0.14,1017.9,2,4.89,232,15.94,5.02,32.78,2020-01-27 19:00:00-06:00,24.98,2020-01-27 21:02:00-06:00,32.88,2020-01-27 19:07:00-06:00,19.76,2020-01-27 00:00:00-06:00,0.1,0.0009,2020-01-27 20:58:00-06:00,2020-01-27 07:22:00-06:00,2020-01-27 17:07:00-06:00,34.04,2020-01-27 16:35:00-06:00,29.05,2020-01-28 07:03:00-06:00,34.04,2020-01-27 16:35:00-06:00,25.63,2020-01-27 00:00:00-06:00,2020-01-27 00:00:00-06:00
0,dpbpes9yhrsr,44.9379,-89.8436,2020-01-20 00:00:00-06:00,0.38,6.59,0.81,359.4,0.37,0.0006,0.11,1037.6,1,8.419,303,11.64,5.03,14.68,2020-01-20 14:15:00-06:00,-12.68,2020-01-21 06:13:00-06:00,14.68,2020-01-20 14:15:00-06:00,-8.22,2020-01-21 00:00:00-06:00,0.88,0.0036,2020-01-20 08:00:00-06:00,2020-01-20 07:32:00-06:00,2020-01-20 16:51:00-06:00,23.48,2020-01-20 14:38:00-06:00,-0.12,2020-01-21 03:01:00-06:00,23.48,2020-01-20 14:38:00-06:00,2.58,2020-01-21 00:00:00-06:00,2020-01-21 00:00:00-06:00
1,dpbpes9yhrsr,44.9379,-89.8436,2020-01-21 00:00:00-06:00,0.54,5.1,0.82,342.8,0.06,0.0001,0.05,1031.3,1,8.257,224,33.96,11.31,7.31,2020-01-21 15:01:00-06:00,-4.24,2020-01-21 21:12:00-06:00,7.31,2020-01-21 15:01:00-06:00,-12.68,2020-01-21 06:13:00-06:00,0.91,0.001,2020-01-21 03:00:00-06:00,2020-01-21 07:31:00-06:00,2020-01-21 16:52:00-06:00,21.19,2020-01-21 15:00:00-06:00,11.31,2020-01-21 21:02:00-06:00,21.19,2020-01-21 15:00:00-06:00,-0.12,2020-01-21 03:01:00-06:00,2020-01-22 00:00:00-06:00
2,dpbpes9yhrsr,44.9379,-89.8436,2020-01-22 00:00:00-06:00,0.99,22.95,0.92,351.6,2.1,0.0094,0.51,1019.0,1,3.147,199,35.2,14.55,20.98,2020-01-22 16:02:00-06:00,18.11,2020-01-22 20:58:00-06:00,20.98,2020-01-22 16:02:00-06:00,-1.83,2020-01-22 00:00:00-06:00,0.94,0.0251,2020-01-22 18:05:00-06:00,2020-01-22 07:30:00-06:00,2020-01-22 16:54:00-06:00,31.77,2020-01-22 15:57:00-06:00,27.57,2020-01-23 08:00:00-06:00,31.77,2020-01-22 15:57:00-06:00,13.32,2020-01-22 00:00:00-06:00,2020-01-22 04:55:00-06:00
3,dpbpes9yhrsr,44.9379,-89.8436,2020-01-23 00:00:00-06:00,1.0,29.0,0.96,394.9,0.76,0.0043,0.47,1020.2,1,0.156,128,20.47,7.77,27.0,2020-01-23 14:42:00-06:00,20.56,2020-01-24 00:09:00-06:00,27.0,2020-01-23 14:42:00-06:00,18.82,2020-01-23 00:00:00-06:00,0.97,0.0135,2020-01-23 00:00:00-06:00,2020-01-23 07:29:00-06:00,2020-01-23 16:55:00-06:00,34.12,2020-01-23 14:16:00-06:00,27.86,2020-01-24 00:04:00-06:00,34.12,2020-01-23 14:16:00-06:00,27.49,2020-01-23 08:36:00-06:00,2020-01-23 00:00:00-06:00
4,dpbpes9yhrsr,44.9379,-89.8436,2020-01-24 00:00:00-06:00,1.0,30.76,0.96,415.7,0.71,0.0037,0.53,1023.1,1,0.141,63,19.94,10.19,27.64,2020-01-24 15:03:00-06:00,10.55,2020-01-25 05:31:00-06:00,27.64,2020-01-24 15:03:00-06:00,20.56,2020-01-24 00:09:00-06:00,0.01,0.0101,2020-01-24 01:01:00-06:00,2020-01-24 07:29:00-06:00,2020-01-24 16:56:00-06:00,35.82,2020-01-24 15:03:00-06:00,19.13,2020-01-25 05:23:00-06:00,35.82,2020-01-24 15:03:00-06:00,27.86,2020-01-24 00:04:00-06:00,2020-01-24 08:59:00-06:00
5,dpbpes9yhrsr,44.9379,-89.8436,2020-01-25 00:00:00-06:00,0.9,27.03,0.96,386.5,0.15,0.0005,0.18,1021.8,1,8.581,21,18.05,5.5,30.08,2020-01-25 19:00:00-06:00,16.16,2020-01-26 07:30:00-06:00,30.15,2020-01-25 19:11:00-06:00,10.55,2020-01-25 05:31:00-06:00,0.04,0.0028,2020-01-25 06:00:00-06:00,2020-01-25 07:28:00-06:00,2020-01-25 16:58:00-06:00,34.54,2020-01-25 15:00:00-06:00,22.5,2020-01-26 07:35:00-06:00,34.54,2020-01-25 15:00:00-06:00,19.13,2020-01-25 05:23:00-06:00,2020-01-25 00:00:00-06:00
6,dpbpes9yhrsr,44.9379,-89.8436,2020-01-26 00:00:00-06:00,0.97,26.52,0.98,366.9,0.09,0.0004,0.13,1019.5,1,5.534,251,15.21,5.49,25.96,2020-01-26 12:02:00-06:00,19.47,2020-01-26 23:59:00-06:00,28.37,2020-01-26 00:00:00-06:00,16.16,2020-01-26 07:30:00-06:00,0.07,0.0011,2020-01-27 00:00:00-06:00,2020-01-26 07:27:00-06:00,2020-01-26 16:59:00-06:00,33.06,2020-01-26 15:01:00-06:00,25.12,2020-01-26 23:59:00-06:00,33.06,2020-01-26 15:01:00-06:00,22.5,2020-01-26 07:35:00-06:00,2020-01-26 22:58:00-06:00
7,dpbpes9yhrsr,44.9379,-89.8436,2020-01-27 00:00:00-06:00,0.99,28.47,0.99,358.3,0.15,0.0007,0.15,1017.5,1,4.659,269,15.0,4.84,25.88,2020-01-27 16:24:00-06:00,21.93,2020-01-27 22:07:00-06:00,25.88,2020-01-27 16:24:00-06:00,19.47,2020-01-27 00:00:00-06:00,0.1,0.0017,2020-01-27 13:26:00-06:00,2020-01-27 07:26:00-06:00,2020-01-27 17:01:00-06:00,31.5,2020-01-27 15:10:00-06:00,26.39,2020-01-27 22:19:00-06:00,31.5,2020-01-27 15:10:00-06:00,25.12,2020-01-27 00:00:00-06:00,2020-01-27 00:00:00-06:00
0,9zz306bj42g3,43.7855,-91.0436,2020-01-20 00:00:00-06:00,0.6,7.58,0.86,367.3,0.36,0.0006,0.15,1038.8,1,6.501,321,12.89,4.19,12.81,2020-01-20 14:06:00-06:00,-8.96,2020-01-21 05:56:00-06:00,12.81,2020-01-20 14:06:00-06:00,-2.36,2020-01-21 00:00:00-06:00,0.88,0.0034,2020-01-20 08:00:00-06:00,2020-01-20 07:33:00-06:00,2020-01-20 16:59:00-06:00,20.73,2020-01-20 14:23:00-06:00,1.74,2020-01-21 04:21:00-06:00,20.73,2020-01-20 14:23:00-06:00,5.39,2020-01-21 00:00:00-06:00,2020-01-20 00:00:00-06:00
1,9zz306bj42g3,43.7855,-91.0436,2020-01-21 00:00:00-06:00,0.5,5.89,0.78,340.8,0.08,0.0001,0.05,1032.7,1,9.241,201,40.85,11.56,6.69,2020-01-21 14:57:00-06:00,-1.56,2020-01-21 20:11:00-06:00,6.69,2020-01-21 14:57:00-06:00,-8.96,2020-01-21 05:56:00-06:00,0.91,0.0012,2020-01-21 03:00:00-06:00,2020-01-21 07:33:00-06:00,2020-01-21 17:01:00-06:00,21.02,2020-01-21 14:58:00-06:00,14.07,2020-01-21 19:45:00-06:00,21.02,2020-01-21 14:58:00-06:00,1.74,2020-01-21 04:21:00-06:00,2020-01-21 23:49:00-06:00
2,9zz306bj42g3,43.7855,-91.0436,2020-01-22 00:00:00-06:00,0.97,24.69,0.9,347.5,1.44,0.0077,0.59,1019.5,1,6.498,189,40.83,15.69,22.21,2020-01-22 15:45:00-06:00,19.73,2020-01-22 19:51:00-06:00,22.21,2020-01-22 15:45:00-06:00,3.37,2020-01-22 00:00:00-06:00,0.94,0.018,2020-01-22 15:35:00-06:00,2020-01-22 07:32:00-06:00,2020-01-22 17:02:00-06:00,32.96,2020-01-22 15:40:00-06:00,29.49,2020-01-23 08:00:00-06:00,32.96,2020-01-22 15:40:00-06:00,18.31,2020-01-22 00:00:00-06:00,2020-01-22 00:00:00-06:00
3,9zz306bj42g3,43.7855,-91.0436,2020-01-23 00:00:00-06:00,1.0,30.51,0.96,397.0,0.67,0.0047,0.56,1019.1,1,0.8,145,23.12,7.83,28.6,2020-01-23 15:05:00-06:00,23.71,2020-01-23 23:04:00-06:00,28.6,2020-01-23 15:05:00-06:00,20.92,2020-01-23 00:00:00-06:00,0.97,0.009,2020-01-23 17:54:00-06:00,2020-01-23 07:31:00-06:00,2020-01-23 17:03:00-06:00,34.83,2020-01-23 15:18:00-06:00,29.76,2020-01-24 00:06:00-06:00,34.83,2020-01-23 15:18:00-06:00,29.45,2020-01-23 08:36:00-06:00,2020-01-23 00:00:00-06:00
4,9zz306bj42g3,43.7855,-91.0436,2020-01-24 00:00:00-06:00,1.0,32.09,0.97,420.8,0.52,0.005,0.66,1020.9,1,0.064,61,20.02,8.46,26.46,2020-01-24 13:01:00-06:00,11.37,2020-01-25 08:00:00-06:00,26.46,2020-01-24 13:01:00-06:00,23.93,2020-01-24 00:39:00-06:00,0.01,0.011,2020-01-24 04:41:00-06:00,2020-01-24 07:30:00-06:00,2020-01-24 17:05:00-06:00,34.91,2020-01-24 13:06:00-06:00,19.45,2020-01-25 08:00:00-06:00,34.91,2020-01-24 13:06:00-06:00,29.76,2020-01-24 00:06:00-06:00,2020-01-24 16:07:00-06:00
5,9zz306bj42g3,43.7855,-91.0436,2020-01-25 00:00:00-06:00,0.98,26.71,0.98,387.0,0.22,0.0009,0.3,1021.7,1,3.144,0,15.43,5.18,28.52,2020-01-25 19:00:00-06:00,20.76,2020-01-26 08:00:00-06:00,28.53,2020-01-25 19:03:00-06:00,9.73,2020-01-25 08:54:00-06:00,0.04,0.0087,2020-01-25 00:00:00-06:00,2020-01-25 07:29:00-06:00,2020-01-25 17:06:00-06:00,31.89,2020-01-25 17:55:00-06:00,24.65,2020-01-25 22:32:00-06:00,32.59,2020-01-25 00:47:00-06:00,18.06,2020-01-25 08:56:00-06:00,2020-01-25 00:00:00-06:00
6,9zz306bj42g3,43.7855,-91.0436,2020-01-26 00:00:00-06:00,0.99,27.81,0.96,364.7,0.07,0.0003,0.15,1019.9,1,6.595,231,17.3,5.37,27.17,2020-01-26 14:58:00-06:00,21.65,2020-01-26 19:33:00-06:00,27.17,2020-01-26 14:58:00-06:00,20.46,2020-01-26 10:00:00-06:00,0.07,0.0011,2020-01-26 06:02:00-06:00,2020-01-26 07:28:00-06:00,2020-01-26 17:07:00-06:00,33.18,2020-01-26 14:44:00-06:00,27.89,2020-01-26 19:35:00-06:00,33.18,2020-01-26 14:44:00-06:00,25.35,2020-01-26 01:07:00-06:00,2020-01-26 23:05:00-06:00
7,9zz306bj42g3,43.7855,-91.0436,2020-01-27 00:00:00-06:00,1.0,30.37,0.99,347.4,0.02,0.0002,0.14,1017.7,1,5.614,247,16.88,4.03,29.08,2020-01-27 16:29:00-06:00,26.61,2020-01-27 21:52:00-06:00,29.57,2020-01-27 23:02:00-06:00,23.03,2020-01-27 09:00:00-06:00,0.1,0.0007,2020-01-27 09:00:00-06:00,2020-01-27 07:28:00-06:00,2020-01-27 17:09:00-06:00,33.28,2020-01-27 14:22:00-06:00,27.18,2020-01-28 04:39:00-06:00,33.28,2020-01-27 14:22:00-06:00,28.01,2020-01-27 03:00:00-06:00,2020-01-27 00:00:00-06:00
