,geohash,latitude,longitude,time,icon,precipType,summary
5,c2ktywhpbg7y,47.4513,-117.1307,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c2ktywhpbg7y,47.4513,-117.1307,2020-01-26 00:00:00-08:00,rain,rain,Overcast throughout the day.
7,c2ktywhpbg7y,47.4513,-117.1307,2020-01-27 00:00:00-08:00,snow,snow,Possible light rain in the evening and overnight.
0,c21gz20kpq72,45.6599,-120.9698,2020-01-20 00:00:00-08:00,cloudy,rain,Overcast throughout the day.
1,c21gz20kpq72,45.6599,-120.9698,2020-01-21 00:00:00-08:00,rain,rain,Possible light rain in the morning.
2,c21gz20kpq72,45.6599,-120.9698,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c21gz20kpq72,45.6599,-120.9698,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c21gz20kpq72,45.6599,-120.9698,2020-01-24 00:00:00-08:00,rain,rain,"Light rain until afternoon, starting again overnight."
5,c21gz20kpq72,45.6599,-120.9698,2020-01-25 00:00:00-08:00,rain,rain,Light rain in the morning and afternoon.
6,c21gz20kpq72,45.6599,-120.9698,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the evening.
7,c21gz20kpq72,45.6599,-120.9698,2020-01-27 00:00:00-08:00,rain,rain,Possible light rain starting in the afternoon.
0,c229cc866cqb,46.7225,-122.9695,2020-01-20 00:00:00-08:00,rain,rain,Light rain in the evening and overnight.
1,c229cc866cqb,46.7225,-122.9695,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c229cc866cqb,46.7225,-122.9695,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c229cc866cqb,46.7225,-122.9695,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c229cc866cqb,46.7225,-122.9695,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c229cc866cqb,46.7225,-122.9695,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c229cc866cqb,46.7225,-122.9695,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the evening and overnight.
7,c229cc866cqb,46.7225,-122.9695,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c23h13fztss6,47.1203,-122.2848,2020-01-20 00:00:00-08:00,rain,rain,Mostly cloudy throughout the day.
1,c23h13fztss6,47.1203,-122.2848,2020-01-21 00:00:00-08:00,rain,rain,Rain throughout the day.
2,c23h13fztss6,47.1203,-122.2848,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c23h13fztss6,47.1203,-122.2848,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c23h13fztss6,47.1203,-122.2848,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c23h13fztss6,47.1203,-122.2848,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c23h13fztss6,47.1203,-122.2848,2020-01-26 00:00:00-08:00,rain,rain,Mostly cloudy throughout the day.
